Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor
3,"F Ture, J Lin","Flat vs. hierarchical phrase-based translation models for cross-language information retrieval",2013,"… 36th international ACM SIGIR conference on Research …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2484137","https://scholar.google.com/scholar?cites=3414168656061109231&as_sdt=5,47&sciodt=0,47&hl=en&num=20",33,"2017-12-15","","","","",0,0,0,0,3,0.75,2
19,"M Srikanth, R Srihari","Incorporating query term dependencies in language models for document retrieval",2003,"… of the 26th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=860523","https://scholar.google.com/scholar?cites=14739923390953589326&as_sdt=5,47&sciodt=0,47&hl=en&num=20",34,"2017-12-15","","","","",0,0,0,0,19,1.36,10
33,"N Zhiltsov, A Kotov, F Nikolaev","Fielded sequential dependence model for ad-hoc entity retrieval in the web of data",2015,"… of the 38th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2767756","https://scholar.google.com/scholar?cites=2542526432999283777&as_sdt=5,47&sciodt=0,47&hl=en&num=20",35,"2017-12-15","","","","",0,0,0,0,33,16.50,11
294,"J Gao, JY Nie, G Wu, G Cao","Dependence language model for information retrieval",2004,"… of the 27th annual international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1009024","https://scholar.google.com/scholar?cites=9077702960207210789&as_sdt=5,47&sciodt=0,47&hl=en&num=20",36,"2017-12-15","","","","",0,0,0,0,294,22.62,74
8,"A Montazeralghaem, H Zamani, A Shakery","Axiomatic analysis for improving the log-logistic feedback model",2016,"… International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2914768","https://scholar.google.com/scholar?cites=10457704343222320768&as_sdt=5,47&sciodt=0,47&hl=en&num=20",37,"2017-12-15","","","","",0,0,0,0,8,8.00,3
0,"C Macdonald, N Tonellotto, I Ounis","Efficient & Effective Selective Query Rewriting with Efficiency Predictions",2017,"… of the 40th International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080827","",38,"2017-12-15","","","","",0,0,0,0,0,0.00,0
28,"JH Park, WB Croft","Query term ranking based on dependency parsing of verbose queries",2010,"Proceedings of the 33rd international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=1835637","https://scholar.google.com/scholar?cites=11754242246499057055&as_sdt=5,47&sciodt=0,47&hl=en&num=20",39,"2017-12-15","","","","",0,0,0,0,28,4.00,14
32,"J Zhao, JX Huang, B He","CRTER: using cross terms to enhance probabilistic information retrieval",2011,"… of the 34th international ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2009941","https://scholar.google.com/scholar?cites=12214398143000324211&as_sdt=5,47&sciodt=0,47&hl=en&num=20",40,"2017-12-15","","","","",0,0,0,0,32,5.33,11
0,"A Montazeralghaem, H Zamani, A Shakery","Term Proximity Constraints for Pseudo-Relevance Feedback",2017,"… International ACM SIGIR …","dl.acm.org","http://dl.acm.org/citation.cfm?id=3080728","",41,"2017-12-15","","","","",0,0,0,0,0,0.00,0
54,"M Bendersky, WB Croft","Modeling higher-order term dependencies in information retrieval using query hypergraphs",2012,"… of the 35th international ACM SIGIR conference …","dl.acm.org","http://dl.acm.org/citation.cfm?id=2348408","https://scholar.google.com/scholar?cites=14402707673965372055&as_sdt=5,47&sciodt=0,47&hl=en&num=20",42,"2017-12-15","","","","",0,0,0,0,54,10.80,27
